"route_id","service_id","trip_id","trip_headsign","block_id","trip_short_name","shape_id","direction_id","wheelchair_accessible"
"WIL","M1","WIL_206_V85_M","Center City Philadelphia","206","206","203005","0","1"
"LAN","M1","LAN_516_V55_M","Lansdale","516","516","005531","0","1"
"MED","M3","MED_3858_V37_M","Center City Philadelphia","3858","3858","300005","0","1"
"NOR","M2","NOR_211_V27_M","Center City Philadelphia","211","211","228005","1","1"
"AIR","M1","AIR_433_V50_M","Airport Terminal E F","433","433","005401","1","1"
"NOR","M2","NOR_232_V26_M","Norristown - Elm Street","232","232","005228","0","1"
"FOX","M1","FOX_4854_V55_M","Fox Chase","4854","4854","005815","0","1"
"WAR","M1","WAR_403_V50_M","Center City Philadelphia","403","403","411005","1","1"
"PAO","M3","PAO_534_V87_M","Center City Philadelphia","534","534","505005","0","1"
"WTR","M3","WTR_3831_V58_M","Center City Philadelphia","3831","3831","327005","1","1"
"TRE","M3","TRE_710_V37_M","Center City Philadelphia","710","710","701005","0","1"
"TRE","M2","TRE_731_V26_M","Trenton","731","731","005701","1","1"
"PAO","M3","PAO_519_V87_M","Malvern","519","519","005505","1","1"
"LAN","M2","LAN_571_V25_M","Center City Philadelphia","571","571","538005","1","1"
"LAN","M1","LAN_6596_V55_M","Lansdale","6596","6596","004531","0","1"
"TRE","M1","TRE_706_V51_M","Center City Philadelphia","706","706","701005","0","1"
"MED","M1","MED_5347_V55_M","Wawa","5347","5347","005300","1","1"
"WIL","M1","WIL_2500_V50_M","Center City Philadelphia","2500","2500","201005","0","1"
"NOR","M3","NOR_212_V37_M","Norristown - Elm Street","212","212","005228","0","1"
"AIR","M1","AIR_8435_V55_M","Airport Terminal E F","8435","8435","005401","1","1"
"TRE","M3","TRE_711_V37_M","Trenton","711","711","005701","1","1"
"TRE","M1","TRE_717_V51_M","Trenton","717","717","005701","1","1"
"MED","M1","MED_3222_V50_M","Center City Philadelphia","3222","3222","300005","0","1"
"AIR","M3","AIR_426_V37_M","Center City Philadelphia","426","426","401005","0","1"
"TRE","M2","TRE_730_V26_M","Center City Philadelphia","730","730","701005","0","1"
"WTR","M1","WTR_5344_V51_M","West Trenton","5344","5344","005327","0","1"
"CHW","M1","CHW_3815_V85_M","Chestnut Hill West","3815","3815","005801","1","1"
"LAN","M1","LAN_5231_V51_M","Center City Philadelphia","5231","5231","538005","1","1"
"PAO","M1","PAO_9593_V85_M","Thorndale","9593","9593","007501","1","1"
"WAR","M1","WAR_405_V50_M","Center City Philadelphia","405","405","411005","1","1"
"WAR","M1","WAR_465_V50_M","Center City Philadelphia","465","465","417005","1","1"
"NOR","M3","NOR_227_V37_M","Center City Philadelphia","227","227","228005","1","1"
"FOX","M2","FOX_8389_V25_M","Center City Philadelphia","8389","8389","815005","1","1"
"FOX","M1","FOX_4834_V55_M","Fox Chase","4834","4834","005815","0","1"
"WTR","M3","WTR_3823_V58_M","Center City Philadelphia","3823","3823","327005","1","1"
"NOR","M1","NOR_3232_V53_M","Norristown - Elm Street","3232","3232","005228","0","1"
"LAN","M1","LAN_6506_V50_M","Doylestown","6506","6506","004538","0","1"
"PAO","M2","PAO_9557_V26_M","Malvern","9557","9557","007505","1","1"
"WAR","M3","WAR_456_V58_M","Glenside","456","456","005411","0","1"
"LAN","M1","LAN_2520_V50_M","Doylestown","2520","2520","005538","0","1"
"NOR","M1","NOR_2843_V85_M","Center City Philadelphia","2843","2843","223005","1","1"
"TRE","M1","TRE_722_V51_M","Center City Philadelphia","722","722","701005","0","1"
"MED","M3","MED_8373_V37_M","Wawa","8373","8373","005300","1","1"
"PAO","M1","PAO_9509_V23_M","Thorndale","9509","9509","007501","1","1"
"AIR","M1","AIR_409_V50_M","Airport Terminal E F","409","409","005401","1","1"
