"route_id","service_id","trip_id","trip_headsign","direction_id","block_id","shape_id","wheelchair_accessible"
"NOR","SID184625","NOR2433_20250831","Center City Philadelphia","1","2433","228004","1"
"AIR","SID184625","AIR2433_20250831","Airport Terminal E & F","1","2433","007401","1"
"NOR","SID184625","NOR2437_20250831","Center City Philadelphia","1","2437","228004","1"
"AIR","SID184625","AIR2437_20250831","Airport Terminal E & F","1","2437","007401","1"
"NOR","SID184625","NOR2441_20250831","Center City Philadelphia","1","2441","228004","1"
"AIR","SID184625","AIR2441_20250831","Airport Terminal E & F","1","2441","007401","1"
"NOR","SID184625","NOR2445_20250831","Center City Philadelphia","1","2445","228004","1"
"AIR","SID184625","AIR2445_20250831","Airport Terminal E & F","1","2445","007401","1"
"NOR","SID184625","NOR2449_20250831","Center City Philadelphia","1","2449","228004","1"
"AIR","SID184625","AIR2449_20250831","Airport Terminal E & F","1","2449","007401","1"
"NOR","SID184625","NOR2453_20250831","Center City Philadelphia","1","2453","228004","1"
"AIR","SID184625","AIR2453_20250831","Airport Terminal E & F","1","2453","007401","1"
"NOR","SID184625","NOR2457_20250831","Center City Philadelphia","1","2457","228004","1"
"AIR","SID184625","AIR2457_20250831","Airport Terminal E & F","1","2457","007401","1"
"NOR","SID184625","NOR2461_20250831","Center City Philadelphia","1","2461","228004","1"
"AIR","SID184625","AIR2461_20250831","Airport Terminal E & F","1","2461","007401","1"
"NOR","SID184625","NOR2465_20250831","Center City Philadelphia","1","2465","228004","1"
"AIR","SID184625","AIR2465_20250831","Airport Terminal E & F","1","2465","007401","1"
"NOR","SID184625","NOR2469_20250831","Center City Philadelphia","1","2469","228004","1"
"AIR","SID184625","AIR2469_20250831","Airport Terminal E & F","1","2469","007401","1"
"NOR","SID184625","NOR2473_20250831","Center City Philadelphia","1","2473","228004","1"
"AIR","SID184625","AIR2473_20250831","Airport Terminal E & F","1","2473","007401","1"
"NOR","SID184625","NOR2477_20250831","Center City Philadelphia","1","2477","228004","1"
"AIR","SID184625","AIR2477_20250831","Airport Terminal E & F","1","2477","007401","1"
"WIL","SID184626","WIL2500_20250902","Center City Philadelphia","0","2500","201007","1"
"LAN","SID184626","LAN2500_20250902","Doylestown","0","2500","004538","1"
"NOR","SID184626","NOR2511_20250902","Center City Philadelphia","1","2511","228004","1"
"PAO","SID184626","PAO2511_20250902","Malvern","1","2511","007501","1"
"WIL","SID184626","WIL2514_20250902","Center City Philadelphia","0","2514","201007","1"
"LAN","SID184626","LAN2514_20250902","Doylestown","0","2514","004538","1"
"WIL","SID184626","WIL2518_20250902","Center City Philadelphia","0","2518","201007","1"
"LAN","SID184626","LAN2518_20250902","Doylestown","0","2518","004538","1"
"WIL","SID184626","WIL2522_20250902","Center City Philadelphia","0","2522","201007","1"
"LAN","SID184626","LAN2522_20250902","Doylestown","0","2522","004538","1"
"WIL","SID184626","WIL2524_20250902","Center City Philadelphia","0","2524","201007","1"
"LAN","SID184626","LAN2524_20250902","Doylestown","0","2524","004538","1"
"WIL","SID184626","WIL2528_20250902","Center City Philadelphia","0","2528","201007","1"
"LAN","SID184626","LAN2528_20250902","Doylestown","0","2528","004538","1"
"WIL","SID184626","WIL2530_20250902","Center City Philadelphia","0","2530","201007","1"
