service_id,date,exception_type
24,20151210,1
24,20151211,1
24,20151214,1
24,20151215,1
24,20151216,1
24,20151217,1
24,20151218,1
24,20151221,1
24,20151222,1
24,20151223,1
24,20151224,1
24,20151225,1
25,20150704,1
26,20150703,1
26,20150711,1
26,20150718,1
26,20150725,1
26,20150801,1
26,20150808,1
26,20150815,1
26,20150822,1
26,20150829,1
27,20150705,1
27,20150712,1
27,20150719,1
27,20150726,1
27,20150802,1
27,20150809,1
27,20150816,1
27,20150823,1
28,20150630,1
28,20150701,1
28,20150702,1
28,20150703,1
28,20150706,1
28,20150707,1
28,20150708,1
28,20150709,1
28,20150710,1
28,20150713,1
28,20150714,1
28,20150715,1
28,20150716,1
28,20150717,1
28,20150720,1
28,20150721,1
28,20150722,1
28,20150723,1
28,20150724,1
28,20150727,1
28,20150728,1
28,20150729,1
28,20150730,1
28,20150731,1
28,20150803,1
28,20150804,1
28,20150805,1
28,20150806,1
28,20150807,1
28,20150810,1
28,20150811,1
28,20150812,1
28,20150813,1
28,20150814,1
28,20150817,1
28,20150818,1
28,20150819,1
28,20150820,1
28,20150821,1
28,20150824,1
28,20150825,1
28,20150826,1
28,20150827,1
28,20150828,1
28,20150831,1
28,20150901,1
28,20150902,1
28,20150903,1
28,20150904,1
28,20150907,1
28,20150908,1
28,20150909,1
28,20150910,1
28,20150911,1
28,20150914,1
28,20150915,1
28,20150916,1
28,20150917,1
28,20150918,1
28,20150921,1
28,20150922,1
28,20150923,1
28,20150924,1
28,20150925,1
28,20150928,1
28,20150929,1
28,20150930,1
28,20151001,1
28,20151002,1
28,20151005,1
28,20151006,1
28,20151007,1
28,20151008,1
28,20151009,1
28,20151012,1
28,20151013,1
28,20151014,1
28,20151015,1
28,20151016,1
28,20151019,1
28,20151020,1
28,20151021,1
28,20151022,1
28,20151023,1
28,20151026,1
28,20151027,1
28,20151028,1
28,20151029,1
28,20151030,1
28,20151102,1
28,20151103,1
28,20151104,1
28,20151105,1
28,20151106,1
28,20151109,1
28,20151110,1
28,20151111,1
28,20151112,1
28,20151113,1
28,20151116,1
28,20151117,1
28,20151118,1
28,20151119,1
28,20151120,1
28,20151123,1
28,20151124,1
28,20151125,1
28,20151126,1
28,20151127,1
28,20151130,1
28,20151201,1
28,20151202,1
28,20151203,1
28,20151204,1
28,20151207,1
28,20151208,1
28,20151209,1
28,20151210,1
28,20151211,1
28,20151214,1
28,20151215,1
28,20151216,1
28,20151217,1
28,20151218,1
28,20151221,1
28,20151222,1
28,20151223,1
28,20151224,1
28,20151225,1
29,20150703,1
29,20150705,1
29,20150712,1
29,20150719,1
29,20150726,1
29,20150802,1
29,20150809,1
29,20150816,1
29,20150823,1
29,20150830,1
29,20150906,1
29,20150913,1
29,20150920,1
29,20150927,1
29,20151004,1
29,20151011,1
29,20151018,1
29,20151025,1
29,20151101,1
29,20151108,1
