Routeid|ATISID|Route|DOW|Dir|SG|Begindate|Enddate|Start_TripId|End_TripId|status_id
       5|478421|      MNBN|0|I|74|20191112|20191112| 1257| 1257|
       5|478422|      MNBN|0|I|75|20191112|20191112| 1258| 1258|
       5|478423|      MNBN|0|I|76|20191112|20191112| 1259| 1259|
       5|478424|      MNBN|0|I|77|20191111|20191111| 1260| 1260|
       5|478425|      MNBN|0|I|78|20191112|20191112| 1261| 1261|
       5|478426|      MNBN|0|I|79|20191112|20191112| 1262| 1262|
       5|478427|      MNBN|0|I|80|20191112|20191112| 1263| 1263|
       5|478428|      MNBN|0|I|81|20191112|20191112| 1264| 1264|
       5|478429|      MNBN|0|I|82|20191112|20191112| 1265| 1265|
       5|478430|      MNBN|0|I|83|20191112|20191112| 1266| 1266|
       5|478431|      MNBN|0|I|84|20191112|20191112| 1267| 1267|
       5|478432|      MNBN|0|I|85|20191112|20191112| 1268| 1268|
       5|478433|      MNBN|0|I|86|20191112|20191112| 1269| 1269|
       5|478434|      MNBN|0|I|87|20191112|20191112| 1270| 1270|
       5|478435|      MNBN|0|I|88|20191112|20191112| 1271| 1271|
       5|478436|      MNBN|0|I|89|20191112|20191112| 1272| 1272|
       5|478437|      MNBN|0|I|90|20191112|20191112| 1273| 1273|
       5|478438|      MNBN|0|I|91|20191112|20191112| 1274| 1274|
       5|478439|      MNBN|0|I|92|20191112|20191112| 1275| 1275|
       5|478440|      MNBN|0|I|93|20191112|20191112| 1276| 1276|
       5|478441|      MNBN|0|I|94|20191112|20191112| 1277| 1277|
       5|478442|      MNBN|0|I|95|20191112|20191112| 1278| 1278|
       5|478443|      MNBN|0|I|96|20191112|20191112| 1279| 1279|
       5|478444|      MNBN|0|I|97|20191112|20191112| 1280| 1280|
       5|478445|      MNBN|0|I|98|20191112|20191112| 1281| 1281|
       5|478446|      MNBN|0|I|99|20191112|20191112| 1282| 1282|
       5|478447|      MNBN|0|I|100|20191112|20191112| 1283| 1283|
       5|478448|      MNBN|0|I|101|20191112|20191112| 1284| 1284|
       5|459747|      MNBN|0|O| 1|20190907|20190907| 1285| 1285|
       5|459748|      MNBN|0|O| 2|20190907|20190907| 1286| 1286|
       5|459749|      MNBN|0|O| 3|20190907|20190907| 1287| 1287|
       5|459750|      MNBN|0|O| 4|20190908|20190908| 1288| 1288|
       5|459751|      MNBN|0|O| 5|20190908|20190908| 1289| 1289|
       5|459752|      MNBN|0|O| 6|20190907|20190907| 1290| 1290|
       5|459753|      MNBN|0|O| 7|20190908|20190908| 1291| 1291|
       5|459754|      MNBN|0|O| 8|20190908|20190908| 1292| 1292|
       5|459755|      MNBN|0|O| 9|20190908|20190908| 1293| 1293|
       5|459756|      MNBN|0|O|10|20190908|20190908| 1294| 1294|
       5|459757|      MNBN|0|O|11|20190908|20190908| 1295| 1295|
       5|459758|      MNBN|0|O|12|20190908|20190908| 1296| 1296|
       5|459759|      MNBN|0|O|13|20190908|20190908| 1297| 1297|
       5|459760|      MNBN|0|O|14|20190908|20190908| 1298| 1298|
       5|459761|      MNBN|0|O|15|20190908|20190908| 1299| 1299|
       5|459762|      MNBN|0|O|16|20190908|20190908| 1300| 1300|
       5|459763|      MNBN|0|O|17|20190908|20190908| 1301| 1301|
       5|459764|      MNBN|0|O|18|20190908|20190908| 1302| 1302|
       5|459765|      MNBN|0|O|19|20190908|20190908| 1303| 1303|
       5|459766|      MNBN|0|O|20|20190908|20190908| 1304| 1304|
       5|459767|      MNBN|0|O|21|20190908|20190908| 1305| 1305|
       5|459768|      MNBN|0|O|22|20190907|20190907| 1306| 1306|
       5|459769|      MNBN|0|O|23|20190908|20190908| 1307| 1307|
       5|459770|      MNBN|0|O|24|20190908|20190908| 1308| 1308|
       5|459771|      MNBN|0|O|25|20190908|20190908| 1309| 1309|
       5|459772|      MNBN|0|O|26|20190908|20190908| 1310| 1310|
       5|459773|      MNBN|0|O|27|20190908|20190908| 1311| 1311|
       5|459774|      MNBN|0|O|28|20190908|20190908| 1312| 1312|
       5|459775|      MNBN|0|O|29|20190908|20190908| 1313| 1313|
       5|459776|      MNBN|0|O|30|20190908|20190908| 1314| 1314|
       5|459777|      MNBN|0|O|31|20190908|20190908| 1315| 1315|
       5|459778|      MNBN|0|O|32|20190908|20190908| 1316| 1316|
       5|459779|      MNBN|0|O|33|20190908|20190908| 1317| 1317|
       5|459780|      MNBN|0|O|34|20190908|20190908| 1318| 1318|
       5|459781|      MNBN|0|O|35|20190908|20190908| 1319| 1319|
       5|459782|      MNBN|0|O|36|20190908|20190908| 1320| 1320|
       5|459783|      MNBN|0|O|37|20190908|20190908| 1321| 1321|
       5|459784|      MNBN|0|O|38|20190908|20190908| 1322| 1322|
       5|459785|      MNBN|0|O|39|20190908|20190908| 1323| 1323|
       5|459786|      MNBN|0|O|40|20190908|20190908| 1324| 1324|
       5|459787|      MNBN|0|O|41|20190908|20190908| 1325| 1325|
       5|459788|      MNBN|0|O|42|20190908|20190908| 1326| 1326|
       5|459789|      MNBN|0|O|43|20190908|20190908| 1327| 1327|
       5|459790|      MNBN|0|O|44|20190908|20190908| 1328| 1328|
       5|459791|      MNBN|0|O|45|20190908|20190908| 1329| 1329|
       5|459792|      MNBN|0|O|46|20190908|20190908| 1330| 1330|
       5|459793|      MNBN|0|O|47|20190908|20190908| 1331| 1331|
       5|459794|      MNBN|0|O|48|20190908|20190908| 1332| 1332|
       5|459795|      MNBN|0|O|49|20190908|20190908| 1333| 1333|
       5|459796|      MNBN|0|O|50|20190908|20190908| 1334| 1334|
       5|459797|      MNBN|0|O|51|20190908|20190908| 1335| 1335|
       5|459798|      MNBN|0|O|52|20190908|20190908| 1336| 1336|
       5|459799|      MNBN|0|O|53|20190908|20190908| 1337| 1337|
       5|459800|      MNBN|0|O|54|20190908|20190908| 1338| 1338|
       5|459801|      MNBN|0|O|55|20190908|20190908| 1339| 1339|
       5|459802|      MNBN|0|O|56|20190908|20190908| 1340| 1340|
       5|459803|      MNBN|0|O|57|20190908|20190908| 1341| 1341|
       5|459804|      MNBN|0|O|58|20190908|20190908| 1342| 1342|
       5|459805|      MNBN|0|O|59|20190908|20190908| 1343| 1343|
       5|459806|      MNBN|0|O|60|20190908|20190908| 1344| 1344|
       5|459807|      MNBN|0|O|61|20190908|20190908| 1345| 1345|
       5|459808|      MNBN|0|O|62|20190908|20190908| 1346| 1346|
       5|459809|      MNBN|0|O|63|20190908|20190908| 1347| 1347|
       5|459810|      MNBN|0|O|64|20190908|20190908| 1348| 1348|
       5|459811|      MNBN|0|O|65|20190908|20190908| 1349| 1349|
       5|459812|      MNBN|0|O|66|20190908|20190908| 1350| 1350|
       5|459813|      MNBN|0|O|67|20190908|20190908| 1351| 1351|
