from_stop_id,to_stop_id,transfer_type,from_trip_id,to_trip_id
90005,90005,4,WIL2712_20260621_SID189756_SID189756,CHE2712_20260621_SID189756_SID189756
90005,90005,4,WIL2716_20260621_SID186629,CHE2716_20260621_SID186629
90005,90005,4,WIL2716_20260621_SID189756_SID189756,CHE2716_20260621_SID189756_SID189756
90005,90005,4,WIL2720_20260621_SID186629,CHE2720_20260621_SID186629
90005,90005,4,WIL2720_20260621_SID189756_SID189756,CHE2720_20260621_SID189756_SID189756
90005,90005,4,WIL2724_20260621_SID186629,CHE2724_20260621_SID186629
90005,90005,4,WIL2724_20260621_SID189756_SID189756,CHE2724_20260621_SID189756_SID189756
90005,90005,4,WIL2728_20260621_SID186629,CHE2728_20260621_SID186629
90005,90005,4,WIL2728_20260621_SID189756_SID189756,CHE2728_20260621_SID189756_SID189756
90005,90005,4,WIL2732_20260621_SID186629,CHE2732_20260621_SID186629
90005,90005,4,WIL2732_20260621_SID189756_SID189756,CHE2732_20260621_SID189756_SID189756
90005,90005,4,WIL2736_20260621_SID186629,CHE2736_20260621_SID186629
90005,90005,4,WIL2736_20260621_SID189756_SID189756,CHE2736_20260621_SID189756_SID189756
90005,90005,4,WIL2740_20260621_SID186629,CHE2740_20260621_SID186629
90005,90005,4,WIL2740_20260621_SID189756_SID189756,CHE2740_20260621_SID189756_SID189756
90005,90005,4,WIL278_20260622_SID186626,NOR278_20260622_SID186626
90005,90005,4,WIL278_20260622_SID189815_SID189815,NOR278_20260622_SID189815_SID189815
90005,90005,4,WIL284_20260622_SID186626,NOR284_20260622_SID186626
90005,90005,4,WIL284_20260622_SID189815_SID189815,NOR284_20260622_SID189815_SID189815
90005,90005,4,MED3280_20260622_SID186626,NOR3280_20260622_SID186626
90005,90005,4,MED3280_20260622_SID189815_SID189815,NOR3280_20260622_SID189815_SID189815
90005,90005,4,MED3282_20260622_SID186626,NOR3282_20260622_SID186626
90005,90005,4,MED3282_20260622_SID189815_SID189815,NOR3282_20260622_SID189815_SID189815
90005,90005,4,WTR3285_20260622_SID186626,WIL3285_20260622_SID186626
90005,90005,4,WTR3285_20260622_SID189836_SID189836,WIL3285_20260622_SID189836_SID189836
90005,90005,4,WTR3289_20260622_SID186626,WIL3289_20260622_SID186626
90005,90005,4,WTR3289_20260622_SID189836_SID189836,WIL3289_20260622_SID189836_SID189836
90005,90005,4,WTR3291_20260622_SID186626,WIL3291_20260622_SID186626
90005,90005,4,WTR3291_20260622_SID189836_SID189836,WIL3291_20260622_SID189836_SID189836
90005,90005,4,WTR3297_20260622_SID186626,WIL3297_20260622_SID186626
90005,90005,4,WTR3297_20260622_SID189836_SID189836,WIL3297_20260622_SID189836_SID189836
90005,90005,4,MED3486_20260622_SID186626,WAR3486_20260622_SID186626
90005,90005,4,MED3486_20260622_SID189324_SID189324,WAR3486_20260622_SID189324_SID189324
90005,90005,4,MED3500_20260622_SID186626,LAN3500_20260622_SID186626
90005,90005,4,MED3500_20260622_SID189324_SID189324,LAN3500_20260622_SID189324_SID189324
90005,90005,4,WTR3501_20260622_SID186626,PAO3501_20260622_SID186626
90005,90005,4,WTR3501_20260622_SID189836_SID189836,PAO3501_20260622_SID189836_SID189836
90005,90005,4,MED3502_20260622_SID186626,LAN3502_20260622_SID186626
90005,90005,4,MED3502_20260622_SID189324_SID189324,LAN3502_20260622_SID189324_SID189324
90005,90005,4,WTR3503_20260622_SID186626,PAO3503_20260622_SID186626
90005,90005,4,WTR3503_20260622_SID189836_SID189836,PAO3503_20260622_SID189836_SID189836
90005,90005,4,MED3504_20260622_SID186626,LAN3504_20260622_SID186626
90005,90005,4,MED3504_20260622_SID189324_SID189324,LAN3504_20260622_SID189324_SID189324
90005,90005,4,MED3506_20260621_SID186629,LAN3506_20260621_SID186629
90005,90005,4,MED3506_20260621_SID189327_SID189327,LAN3506_20260621_SID189327_SID189327
90005,90005,4,MED3508_20260622_SID186626,LAN3508_20260622_SID186626
90005,90005,4,MED3508_20260622_SID189324_SID189324,LAN3508_20260622_SID189324_SID189324
90005,90005,4,MED3510_20260621_SID186629,LAN3510_20260621_SID186629
90005,90005,4,MED3510_20260621_SID189327_SID189327,LAN3510_20260621_SID189327_SID189327
90005,90005,4,MED3512_20260622_SID186626,LAN3512_20260622_SID186626
90005,90005,4,MED3512_20260622_SID189324_SID189324,LAN3512_20260622_SID189324_SID189324
90005,90005,4,MED3514_20260621_SID186629,LAN3514_20260621_SID186629
90005,90005,4,MED3514_20260621_SID189327_SID189327,LAN3514_20260621_SID189327_SID189327
