route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
FOX,SID189324,FOX838_20260622_SID189324_SID189324,Fox Chase,FOX838,0,838,004815,1,2
FOX,SID189324,FOX841_20260622_SID189324_SID189324,Center City Philadelphia,FOX841,1,841,815005,1,0
CHW,SID189324,CHW841_20260622_SID189324_SID189324,Chestnut Hill West,CHW841,1,841,007801,1,2
CHW,SID189324,CHW842_20260622_SID189324_SID189324,Center City Philadelphia,CHW842,0,842,801007,1,2
FOX,SID189324,FOX842_20260622_SID189324_SID189324,Fox Chase,FOX842,0,842,004815,1,2
FOX,SID189324,FOX845_20260622_SID189324_SID189324,Center City Philadelphia,FOX845,1,845,815005,1,2
CHW,SID189324,CHW845_20260622_SID189324_SID189324,Chestnut Hill West,CHW845,1,845,007801,1,2
CHW,SID189324,CHW846_20260622_SID189324_SID189324,Center City Philadelphia,CHW846,0,846,801007,1,2
FOX,SID189324,FOX846_20260622_SID189324_SID189324,Fox Chase,FOX846,0,846,004815,1,2
FOX,SID189324,FOX849_20260622_SID189324_SID189324,Center City Philadelphia,FOX849,1,849,815005,1,2
CHW,SID189324,CHW849_20260622_SID189324_SID189324,Chestnut Hill West,CHW849,1,849,007801,1,2
CHW,SID189324,CHW850_20260622_SID189324_SID189324,Center City Philadelphia,CHW850,0,850,801007,1,2
FOX,SID189324,FOX850_20260622_SID189324_SID189324,Fox Chase,FOX850,0,850,004815,1,0
FOX,SID189321,FOX8507_20260627_SID189321_SID189321,Center City Philadelphia,FOX8507,1,8507,815005,1,0
PAO,SID189321,PAO8507_20260627_SID189321_SID189321,Thorndale,PAO8507,1,8507,007501,1,0
FOX,SID189792,FOX8507_20260621_SID189792_SID189792,Center City Philadelphia,FOX8507,1,8507,815005,1,0
PAO,SID189792,PAO8507_20260621_SID189792_SID189792,Malvern,PAO8507,1,8507,007501,1,0
FOX,SID189792,FOX8515_20260621_SID189792_SID189792,Center City Philadelphia,FOX8515,1,8515,815005,1,0
PAO,SID189792,PAO8515_20260621_SID189792_SID189792,Malvern,PAO8515,1,8515,007501,1,0
FOX,SID189321,FOX8515_20260627_SID189321_SID189321,Center City Philadelphia,FOX8515,1,8515,815005,1,0
PAO,SID189321,PAO8515_20260627_SID189321_SID189321,Thorndale,PAO8515,1,8515,007501,1,0
FOX,SID189792,FOX8523_20260621_SID189792_SID189792,Center City Philadelphia,FOX8523,1,8523,815005,1,0
PAO,SID189792,PAO8523_20260621_SID189792_SID189792,Malvern,PAO8523,1,8523,007501,1,0
FOX,SID189321,FOX8523_20260627_SID189321_SID189321,Center City Philadelphia,FOX8523,1,8523,815005,1,0
PAO,SID189321,PAO8523_20260627_SID189321_SID189321,Thorndale,PAO8523,1,8523,007501,1,0
FOX,SID189324,FOX853_20260622_SID189324_SID189324,Center City Philadelphia,FOX853,1,853,815005,1,2
CHW,SID189324,CHW853_20260622_SID189324_SID189324,Chestnut Hill West,CHW853,1,853,007801,1,0
FOX,SID189321,FOX8531_20260627_SID189321_SID189321,Center City Philadelphia,FOX8531,1,8531,815005,1,0
PAO,SID189321,PAO8531_20260627_SID189321_SID189321,Thorndale,PAO8531,1,8531,007501,1,0
FOX,SID189792,FOX8531_20260621_SID189792_SID189792,Center City Philadelphia,FOX8531,1,8531,815005,1,0
PAO,SID189792,PAO8531_20260621_SID189792_SID189792,Malvern,PAO8531,1,8531,007501,1,0
FOX,SID189321,FOX8539_20260627_SID189321_SID189321,Center City Philadelphia,FOX8539,1,8539,815005,1,0
PAO,SID189321,PAO8539_20260627_SID189321_SID189321,Thorndale,PAO8539,1,8539,007501,1,0
FOX,SID189792,FOX8539_20260621_SID189792_SID189792,Center City Philadelphia,FOX8539,1,8539,815005,1,0
PAO,SID189792,PAO8539_20260621_SID189792_SID189792,Malvern,PAO8539,1,8539,007501,1,0
CHW,SID189324,CHW854_20260622_SID189324_SID189324,Center City Philadelphia,CHW854,0,854,801007,1,0
FOX,SID189324,FOX854_20260622_SID189324_SID189324,Fox Chase,FOX854,0,854,004815,1,0
FOX,SID189321,FOX8547_20260627_SID189321_SID189321,Center City Philadelphia,FOX8547,1,8547,815005,1,0
PAO,SID189321,PAO8547_20260627_SID189321_SID189321,Thorndale,PAO8547,1,8547,007501,1,0
FOX,SID189792,FOX8547_20260621_SID189792_SID189792,Center City Philadelphia,FOX8547,1,8547,815005,1,0
PAO,SID189792,PAO8547_20260621_SID189792_SID189792,Malvern,PAO8547,1,8547,007501,1,0
FOX,SID189321,FOX8555_20260627_SID189321_SID189321,Center City Philadelphia,FOX8555,1,8555,815005,1,0
PAO,SID189321,PAO8555_20260627_SID189321_SID189321,Thorndale,PAO8555,1,8555,007501,1,0
FOX,SID189792,FOX8555_20260621_SID189792_SID189792,Center City Philadelphia,FOX8555,1,8555,815005,1,0
PAO,SID189792,PAO8555_20260621_SID189792_SID189792,Malvern,PAO8555,1,8555,007501,1,0
FOX,SID189792,FOX8563_20260621_SID189792_SID189792,Center City Philadelphia,FOX8563,1,8563,815005,1,0
PAO,SID189792,PAO8563_20260621_SID189792_SID189792,Malvern,PAO8563,1,8563,007501,1,0
FOX,SID189321,FOX8563_20260627_SID189321_SID189321,Center City Philadelphia,FOX8563,1,8563,815005,1,0
PAO,SID189321,PAO8563_20260627_SID189321_SID189321,Thorndale,PAO8563,1,8563,007501,1,0
FOX,SID189324,FOX857_20260622_SID189324_SID189324,Center City Philadelphia,FOX857,1,857,815005,1,0
CHW,SID189324,CHW857_20260622_SID189324_SID189324,Chestnut Hill West,CHW857,1,857,007801,1,0
FOX,SID189321,FOX8571_20260627_SID189321_SID189321,Center City Philadelphia,FOX8571,1,8571,815005,1,0
PAO,SID189321,PAO8571_20260627_SID189321_SID189321,Thorndale,PAO8571,1,8571,007501,1,0
FOX,SID189792,FOX8571_20260621_SID189792_SID189792,Center City Philadelphia,FOX8571,1,8571,815005,1,0
PAO,SID189792,PAO8571_20260621_SID189792_SID189792,Malvern,PAO8571,1,8571,007501,1,0
CHW,SID189324,CHW858_20260622_SID189324_SID189324,Center City Philadelphia,CHW858,0,858,801007,1,0
