route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_short_name
TRE,SID189324,TRE789_20260622_SID189324,Trenton,1,789,007701,0,1,TRE789
CHW,SID189324,CHW800_20260622_SID189324,Temple University,0,800,801007,2,1,CHW800
FOX,SID189324,FOX801_20260622_SID189324,Center City Philadelphia,1,801,815005,0,1,FOX801
CHW,SID189324,CHW801_20260622_SID189324,Chestnut Hill West,1,801,007801,2,1,CHW801
CHW,SID189324,CHW802_20260622_SID189324,Center City Philadelphia,0,802,801007,2,1,CHW802
FOX,SID189324,FOX802_20260622_SID189324,Fox Chase,0,802,004815,2,1,FOX802
FOX,SID189324,FOX803_20260622_SID189324,Center City Philadelphia,1,803,815005,2,1,FOX803
CHW,SID189324,CHW803_20260622_SID189324,Chestnut Hill West,1,803,007801,2,1,CHW803
FOX,SID189324,FOX805_20260622_SID189324,Center City Philadelphia,1,805,815005,2,1,FOX805
CHW,SID189324,CHW805_20260622_SID189324,Chestnut Hill West,1,805,007801,2,1,CHW805
CHW,SID189324,CHW806_20260622_SID189324,Center City Philadelphia,0,806,801007,2,1,CHW806
FOX,SID189324,FOX806_20260622_SID189324,Fox Chase,0,806,004815,2,1,FOX806
FOX,SID189324,FOX809_20260622_SID189324,Center City Philadelphia,1,809,815005,2,1,FOX809
CHW,SID189324,CHW809_20260622_SID189324,Chestnut Hill West,1,809,007801,2,1,CHW809
CHW,SID189324,CHW810_20260622_SID189324,Center City Philadelphia,0,810,801007,2,1,CHW810
FOX,SID189324,FOX810_20260622_SID189324,Fox Chase,0,810,004815,2,1,FOX810
FOX,SID189324,FOX811_20260622_SID189324,Center City Philadelphia,1,811,815005,2,1,FOX811
CHW,SID189324,CHW811_20260622_SID189324,Chestnut Hill West,1,811,007801,2,1,CHW811
CHW,SID189324,CHW814_20260622_SID189324,Center City Philadelphia,0,814,801007,2,1,CHW814
FOX,SID189324,FOX814_20260622_SID189324,Fox Chase,0,814,004815,0,1,FOX814
FOX,SID189324,FOX815_20260622_SID189324,Center City Philadelphia,1,815,815005,2,1,FOX815
CHW,SID189324,CHW815_20260622_SID189324,Chestnut Hill West,1,815,007801,2,1,CHW815
FOX,SID189324,FOX817_20260622_SID189324,Center City Philadelphia,1,817,815005,2,1,FOX817
CHW,SID189324,CHW817_20260622_SID189324,Chestnut Hill West,1,817,007801,0,1,CHW817
CHW,SID189324,CHW818_20260622_SID189324,Center City Philadelphia,0,818,801007,0,1,CHW818
FOX,SID189324,FOX818_20260622_SID189324,Fox Chase,0,818,004815,0,1,FOX818
FOX,SID189324,FOX821_20260622_SID189324,Center City Philadelphia,1,821,815005,0,1,FOX821
CHW,SID189324,CHW821_20260622_SID189324,Chestnut Hill West,1,821,007801,0,1,CHW821
CHW,SID189324,CHW822_20260622_SID189324,Center City Philadelphia,0,822,801007,0,1,CHW822
FOX,SID189324,FOX822_20260622_SID189324,Fox Chase,0,822,004815,0,1,FOX822
FOX,SID189324,FOX825_20260622_SID189324,Center City Philadelphia,1,825,815005,0,1,FOX825
CHW,SID189324,CHW825_20260622_SID189324,Chestnut Hill West,1,825,007801,0,1,CHW825
CHW,SID189324,CHW826_20260622_SID189324,Center City Philadelphia,0,826,801007,0,1,CHW826
FOX,SID189324,FOX826_20260622_SID189324,Fox Chase,0,826,004815,0,1,FOX826
CHW,SID189324,CHW8280_20260622_SID189324,Center City Philadelphia,0,8280,801007,2,1,CHW8280
NOR,SID189324,NOR8280_20260622_SID189324,Miquon,0,8280,004228,2,1,NOR8280
FOX,SID189324,FOX829_20260622_SID189324,Center City Philadelphia,1,829,815005,0,1,FOX829
CHW,SID189324,CHW829_20260622_SID189324,Chestnut Hill West,1,829,007801,0,1,CHW829
WIL,SID189324,WIL8299_20260622_SID189324,Newark DE,1,8299,007201,2,1,WIL8299
CHW,SID189324,CHW830_20260622_SID189324,Center City Philadelphia,0,830,801007,0,1,CHW830
FOX,SID189324,FOX830_20260622_SID189324,Fox Chase,0,830,004815,0,1,FOX830
CHW,SID189779,CHW8312_20260621_SID189779,Center City Philadelphia,0,8312,801007,0,1,CHW8312
WTR,SID189779,WTR8312_20260621_SID189779,West Trenton,0,8312,004327,0,1,WTR8312
CHW,SID189411,CHW8312_20260718_SID189411,Center City Philadelphia,0,8312,801007,0,1,CHW8312
WTR,SID189411,WTR8312_20260718_SID189411,Yardley,0,8312,004327,0,1,WTR8312
CHW,SID189779,CHW8320_20260621_SID189779,Center City Philadelphia,0,8320,801007,0,1,CHW8320
WTR,SID189779,WTR8320_20260621_SID189779,West Trenton,0,8320,004327,0,1,WTR8320
CHW,SID189411,CHW8320_20260718_SID189411,Center City Philadelphia,0,8320,801007,0,1,CHW8320
WTR,SID189411,WTR8320_20260718_SID189411,Yardley,0,8320,004327,0,1,WTR8320
CHW,SID189779,CHW8328_20260621_SID189779,Center City Philadelphia,0,8328,801007,0,1,CHW8328
WTR,SID189779,WTR8328_20260621_SID189779,West Trenton,0,8328,004327,0,1,WTR8328
CHW,SID189411,CHW8328_20260718_SID189411,Center City Philadelphia,0,8328,801007,0,1,CHW8328
WTR,SID189411,WTR8328_20260718_SID189411,Yardley,0,8328,004327,0,1,WTR8328
FOX,SID189324,FOX833_20260622_SID189324,Center City Philadelphia,1,833,815005,0,1,FOX833
CHW,SID189324,CHW833_20260622_SID189324,Chestnut Hill West,1,833,007801,0,1,CHW833
CHW,SID189779,CHW8336_20260621_SID189779,Center City Philadelphia,0,8336,801007,0,1,CHW8336
WTR,SID189779,WTR8336_20260621_SID189779,West Trenton,0,8336,004327,0,1,WTR8336
CHW,SID189411,CHW8336_20260718_SID189411,Center City Philadelphia,0,8336,801007,0,1,CHW8336
